Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:00:09,540,164,4320000,1312000,17.93,179.35,17.75,179.34,105.82,32.12,846537.62,256963.99,94.57%,100%,0,0,0
09:00:14,94,28,752000,224000,6.05,159.86,5.94,159.86,18.56,5.53,148440.58,44216.34,94.95%,100%,1,1,1
09:00:19,881,219,7048000,1752000,6.72,168.67,6.58,168.64,312.52,77.43,2500154.11,619466.07,97.35%,100%,2,2,2
09:00:24,516,159,4128000,1272000,9.04,226.75,8.9,226.75,101.03,31.05,808228.51,248432.43,96.45%,100%,3,3,3
09:00:29,498,137,3984000,1096000,9.99,231.25,9.82,231.23,94.44,26.1,755503.41,208818.92,98.03%,100%,4,4,4
09:00:34,425,93,3400000,744000,11.09,298.77,10.95,298.75,117.9,25.84,943185.3,206721.17,97.25%,100%,5,5,5
