Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:02:26,211,44,27008000,5632000,3.85,95.32,3.39,94.18,42.09,8.78,5387592.26,1123478.95,100%,100%,0,0,0
09:02:31,163,44,20864000,5632000,7.02,87.5,6.19,85.34,32.59,8.8,4171965.61,1126174.77,100%,100%,1,1,1
09:02:36,294,66,37632000,8448000,6,48.97,5.19,47.45,58.75,13.19,7520383.69,1688249.4,100%,100%,2,2,2
09:02:41,346,78,44288000,9984000,4.85,43.13,4.13,41.78,68.46,15.43,8762960.03,1975464.98,100%,100%,3,3,3
09:02:46,381,98,48768000,12544000,3.44,37.56,3.12,36.61,76.2,19.6,9753600,2508800,100%,100%,4,4,4
09:02:51,298,80,38144000,10240000,5.6,41.24,5.07,40.32,59.88,16.07,7664054.65,2057464.34,100%,100%,5,5,5
