Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
09:00:01,8,8,8,8,8,8,8,8,64000,128000,256000,512000,1024000,2048000,4096000,8000000,4148.12,4216.12,3326.12,4533.12,4511.75,3818.38,4222.5,3603,4147.75,4215.88,3320.12,4532.5,4511,3814.5,4217.25,3588,2.15,2.12,2.93,1.77,1.78,2.51,2.09,2.59,17199.74,33999.34,93822.73,113022.55,227480.29,642646.76,1072262.18,2594683.5,100%,100%,100%,100%,100%,100%,100%,100%,0,0,0
