Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:01:53,722,234,46208000,14976000,4.57,69.76,4.06,69.44,144.02,46.66,9217022.9,2986397.63,87.52%,100%,0,0,0
09:01:58,600,175,38400000,11200000,4.67,97.52,4.21,97.15,118.8,34.65,7603104.34,2217310.26,88.11%,100%,1,1,1
09:02:03,114,23,7296000,1472000,6.11,192.61,5.34,192.17,22.02,4.44,1409310.41,284334.56,91.2%,100%,2,2,2
09:02:08,320,69,20480000,4416000,6.5,192.16,5.93,191.62,123.42,26.6,7899003.78,1702519.89,88.4%,100%,3,3,3
09:02:13,416,124,26624000,7936000,6.69,139.95,6.12,139.33,98.11,31.49,6278920.56,2015240.74,92.65%,100%,4,4,4
09:02:18,384,91,24576000,5824000,12.38,150.34,11.48,149.71,82.1,19.44,5254475.58,1244154.16,92.53%,100%,5,5,5
