Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:04:05,161,58,161000000,58000000,8.76,61.84,4.47,51.64,32.17,11.59,32174260.59,11590727.42,100%,100%,0,0,0
09:04:10,154,43,154000000,43000000,8.73,85.16,4.65,76.35,30.73,8.58,30732388.74,8581121.53,100%,100%,1,1,1
09:04:15,113,35,113000000,35000000,9.24,113.11,5.37,104.54,22.59,7,22586448.13,6995802.52,100%,100%,2,2,2
09:04:20,170,42,170000000,42000000,9.38,81.5,5.45,72.76,33.87,8.37,33871289.1,8368200.84,100%,100%,3,3,3
09:04:25,106,26,106000000,26000000,11,148.96,6.93,139.23,21.02,5.16,21023403.41,5156683.86,100%,100%,4,4,4
09:04:30,119,36,119000000,36000000,11.38,100.86,7.01,90.28,23.87,7.22,23866827.12,7220216.61,100%,100%,5,5,5
