1.024,0.99,1,1.08
1.024,1.97,2,1.08
1.024,2.94,3,1.075
1.024,3.86,4,1.301
1.024,4.82,5,1.105
1.024,5.55,6,1.214
1.024,6.65,7,1.148
1.024,7.71,8,1.121
1.024,8.33,9,1.142
1.024,9.5,10,1.154
1.024,9.99,11,1.18
1.024,11.18,12,1.152
1.024,11.78,13,1.203
1.024,12.17,14,1.253
1.024,10.85,15,3.307
1.024,13.83,16,1.268
1.024,15.03,17,1.3
1.024,16.06,18,1.275
1.024,16.42,19,1.394
1.024,16.96,20,1.342
1.024,17.76,21,1.279
1.024,19.02,22,1.227
1.024,19.67,23,1.288
1.024,20.35,24,1.412
1.024,21.59,25,1.287
1.024,15.2,26,2.392
1.024,23.05,27,1.271
1.024,23.65,28,1.207
1.024,23.54,29,1.501
1.024,24.67,30,1.291
1.024,26.42,31,1.203
1.024,20.45,32,2.264
1.024,13.88,33,4.477
1.024,26.3,34,2.109
1.024,27.88,35,1.318
1.024,24.96,36,1.341
1.024,30.54,37,1.231
1.024,29.34,38,1.354
1.024,30.86,39,1.343
1.024,31.76,40,1.412
1.024,31.8,41,1.569
1.024,29.89,42,1.61
1.024,15.16,43,5.406
1.024,4.04,44,24.151
1.024,12.66,45,6.416
1.024,6.57,46,17.674
1.024,35.65,47,1.269
1.024,36.93,48,1.389
1.024,27.4,49,3.501
1.024,34.9,50,1.765
1.024,19.13,51,5.306
1.024,41.27,52,1.423
1.024,41.15,53,1.401
1.024,40.21,54,1.473
1.024,41.11,55,1.368
1.024,28.63,56,2.561
1.024,43.57,57,1.281
1.024,35.19,58,2.18
1.024,35.93,59,1.667
1.024,25.86,60,3.451
