1.024,0.99,1,1.058
1.024,1.99,2,1.06
1.024,2.9,3,1.092
1.024,3.9,4,1.082
1.024,4.95,5,1.07
1.024,5.75,6,1.099
1.024,6.47,7,1.107
1.024,7.52,8,1.109
1.024,8.06,9,1.195
1.024,9.27,10,1.184
1.024,9.59,11,1.156
1.024,10.0,12,1.232
1.024,11.68,13,1.18
1.024,11.63,14,1.195
1.024,12.64,15,1.275
1.024,13.02,16,1.209
1.024,14.87,17,1.257
1.024,14.79,18,1.243
1.024,16.01,19,1.299
1.024,17.0,20,1.34
1.024,18.81,21,1.126
1.024,17.9,22,1.176
1.024,18.34,23,1.294
1.024,16.64,24,1.637
1.024,20.21,25,1.309
1.024,20.51,26,1.613
1.024,22.28,27,1.194
1.024,15.55,28,3.029
1.024,21.86,29,1.298
1.024,23.31,30,1.309
1.024,21.73,31,1.355
1.024,23.78,32,1.529
1.024,23.36,33,1.3
1.024,22.91,34,1.387
1.024,16.51,35,3.306
1.024,27.09,36,1.519
1.024,24.34,37,1.319
1.024,17.45,38,3.503
1.024,21.24,39,2.486
1.024,19.17,40,2.622
1.024,14.37,41,4.394
1.024,12.05,42,5.592
1.024,26.46,43,1.586
1.024,31.07,44,1.22
1.024,30.77,45,1.312
1.024,31.63,46,1.449
1.024,32.58,47,1.438
1.024,24.8,48,1.671
1.024,32.28,49,1.395
1.024,27.5,50,2.291
