Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:03:32,167,44,85504000,22528000,7.87,84.18,5.37,78.93,33.26,8.76,17029277.04,4486755.63,100%,100%,0,0,0
09:03:37,176,44,90112000,22528000,6.95,85.89,4.61,80.93,35.17,8.79,18007993.61,4501998.4,100%,100%,1,1,1
09:03:42,110,26,56320000,13312000,7.69,159.69,5.58,155.42,22,5.2,11261747.65,2661867.63,100%,100%,2,2,2
09:03:47,104,36,53248000,18432000,6.4,122.36,4.3,118.28,20.49,7.09,10492216.75,3631921.18,100%,100%,3,3,3
09:03:52,208,54,106496000,27648000,8.9,58.44,6.46,53.43,41.5,10.77,21248204.31,5516360.73,100%,100%,4,4,4
09:03:57,240,60,122880000,30720000,8.79,46.7,6.41,41.08,48.82,12.21,24995931.65,6248982.91,100%,100%,5,5,5
