Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:02:59,218,44,55808000,11264000,5.24,88.16,4.13,86.07,43.38,8.76,11106069.65,2241592.04,100%,100%,0,0,0
09:03:04,154,40,39424000,10240000,7.64,96.5,6.25,93.75,30.57,7.94,7826881.08,2032956.12,100%,100%,1,1,1
09:03:09,204,55,52224000,14080000,6.57,66.55,5.2,63.53,40.75,10.99,10432281.26,2812624.85,100%,100%,2,2,2
09:03:14,0,0,N/A,N/A,0,0,N/A,3,3,3
09:03:19,210,67,53760000,17152000,4.4,64.03,3.3,61.87,80.48,25.68,20601647.83,6572906.69,100%,100%,4,4,4
09:03:24,203,53,51968000,13568000,4.95,69.11,3.77,66.77,43.46,11.35,11125669.02,2904731.32,100%,100%,5,5,5
