Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:01:20,32,3,1024000,96000,3.19,1547.33,3.06,1547.33,6.27,0.59,200626.96,18808.78,96.97%,100%,0,0,0
09:01:25,124,20,3968000,640000,4.02,1172.2,3.86,1172.1,22.21,3.41,710813.2,109106.82,93.94%,100%,1,1,1
09:01:30,274,61,8768000,1952000,4.56,308.9,4.39,308.84,54.41,12.09,1740976.21,386985.66,93.2%,100%,2,2,2
09:01:35,632,151,20224000,4832000,6.03,107.09,5.78,106.99,124.91,29.86,3997240.24,955372.21,92.26%,100%,3,3,3
09:01:40,412,119,13184000,3808000,6.39,103.18,6.11,103.14,81.75,23.62,2616073.5,755720.14,92.38%,100%,4,4,4
09:01:45,459,138,14688000,4416000,5.99,84.17,5.73,84.1,155.48,47.11,4975405.9,1507621.46,90.53%,100%,5,5,5
